"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3"
"ENSG00000085276" 0 1 1 1 0 0
"ENSG00000085365" 1087 1202 1359 1396 1101 1148
"ENSG00000085377" 2071 2319 2522 2580 1977 2026
"ENSG00000085382" 301 291 341 368 277 278
"ENSG00000085415" 1574 1809 1980 2013 1616 1609
"ENSG00000085433" 286 331 369 376 308 324
"ENSG00000085449" 2528 2903 3346 3215 2740 2835
"ENSG00000085465" 14 19 25 19 14 21
"ENSG00000085491" 1658 1884 2244 2104 1852 1752
"ENSG00000085511" 621 715 859 763 607 603
"ENSG00000085514" 3 7 2 9 4 6
"ENSG00000085552" 0 2 1 2 1 3
"ENSG00000085563" 13 15 10 12 17 13
"ENSG00000085644" 206 263 336 292 237 270
"ENSG00000085662" 1136 1449 1323 1560 1248 1319
"ENSG00000085719" 1621 1825 1987 2075 1640 1767
"ENSG00000085721" 930 1160 1191 1266 1070 992
"ENSG00000085733" 16101 20205 23058 23155 18926 18091
"ENSG00000085760" 1789 2240 2500 2334 1846 1947
"ENSG00000085788" 677 752 949 889 707 651
"ENSG00000085831" 78 103 103 137 98 113
"ENSG00000085832" 2602 2973 3256 3360 2575 2716
"ENSG00000085840" 600 798 872 767 602 664
"ENSG00000085871" 0 1 1 0 0 2
"ENSG00000085872" 1006 1232 1697 1337 1148 1166
"ENSG00000085978" 644 764 838 843 712 703
"ENSG00000085982" 824 941 1070 1197 936 874
"ENSG00000085998" 2224 2774 3122 3223 2523 2565
"ENSG00000085999" 552 685 848 739 584 595
"ENSG00000086015" 1010 1326 1543 1351 1181 1211
"ENSG00000086061" 8156 10034 11346 10026 8525 8545
"ENSG00000086062" 676 868 979 979 739 746
"ENSG00000086065" 1361 1458 1591 1709 1363 1292
"ENSG00000086102" 1256 1523 1805 1699 1347 1407
"ENSG00000086159" 14 12 26 19 14 10
"ENSG00000086189" 940 1124 1243 1181 996 962
"ENSG00000086200" 1230 1390 1529 1504 1259 1288
"ENSG00000086205" 5 1 4 3 3 3
"ENSG00000086232" 3643 4272 5141 4581 3668 3977
"ENSG00000086288" 0 2 1 0 0 0
"ENSG00000086289" 85 123 114 149 90 107
"ENSG00000086300" 2058 1818 1865 2380 1862 1904
"ENSG00000086475" 613 696 781 778 608 651
"ENSG00000086504" 911 1054 1223 1268 1076 1096
"ENSG00000086506" 2 11 15 19 11 7
"ENSG00000086544" 153 169 153 189 148 163
"ENSG00000086548" 4 4 1 1 2 0
"ENSG00000086570" 200 194 285 349 225 220
"ENSG00000086589" 1724 2105 2611 2158 1804 1854
"ENSG00000086598" 3865 4768 5244 5035 4076 4263
"ENSG00000086619" 86 90 112 135 92 91
"ENSG00000086666" 876 1092 1238 1247 1015 956
"ENSG00000086696" 1 3 4 2 2 1
"ENSG00000086712" 1044 1196 1522 1292 1047 1048
"ENSG00000086717" 35 35 39 35 39 33
"ENSG00000086730" 51 59 55 55 51 43
"ENSG00000086758" 13459 13588 17198 17331 12660 13403
"ENSG00000086827" 491 655 723 655 536 634
"ENSG00000086848" 145 193 196 222 147 172
"ENSG00000086991" 2 0 1 2 3 0
"ENSG00000087008" 170 207 208 252 190 230
"ENSG00000087053" 1695 2073 2284 2193 1812 1831
"ENSG00000087074" 967 1380 1720 1313 1147 1155
"ENSG00000087076" 18 20 26 39 22 26
"ENSG00000087077" 120 193 164 152 138 131
"ENSG00000087085" 6 6 7 4 4 4
"ENSG00000087086" 12531 15734 17631 17744 14173 15132
"ENSG00000087087" 1986 2678 3525 2502 2130 2329
"ENSG00000087088" 457 639 674 647 537 555
"ENSG00000087095" 854 1036 1131 1212 930 928
"ENSG00000087111" 671 774 991 872 711 772
"ENSG00000087116" 110 78 102 160 113 101
"ENSG00000087128" 174 207 242 250 185 192
"ENSG00000087152" 838 1090 1109 1232 1006 1031
"ENSG00000087157" 416 513 613 544 474 503
"ENSG00000087191" 2268 2759 3027 3039 2493 2584
"ENSG00000087206" 886 1014 1069 1088 847 888
"ENSG00000087245" 159 240 322 215 217 227
"ENSG00000087253" 833 1093 1170 1007 890 891
"ENSG00000087258" 305 358 415 385 299 340
"ENSG00000087263" 1241 1532 1710 1560 1354 1434
"ENSG00000087266" 764 847 1100 1005 857 851
"ENSG00000087269" 1069 1303 1677 1278 1134 1134
"ENSG00000087274" 2378 3032 3455 3310 2616 2729
"ENSG00000087299" 418 424 459 539 409 422
"ENSG00000087301" 284 347 319 378 291 263
"ENSG00000087302" 1352 1647 1950 1767 1436 1435
"ENSG00000087303" 4 3 7 7 3 9
"ENSG00000087338" 934 1003 1145 1261 970 979
"ENSG00000087365" 4445 5536 6962 5465 4549 4900
"ENSG00000087448" 765 841 1016 973 822 781
"ENSG00000087460" 7146 8598 10818 9775 7639 8229
"ENSG00000087470" 2469 2961 3650 3107 2595 2581
"ENSG00000087494" 8 8 8 8 6 5
"ENSG00000087495" 10 3 11 4 4 3
"ENSG00000087502" 1417 1596 2048 1761 1531 1425
"ENSG00000087510" 271 278 457 382 291 292
"ENSG00000087586" 1022 1369 1524 1227 1187 1161
"ENSG00000087589" 3 4 8 9 4 5
"ENSG00000087842" 2534 2730 3053 3198 2551 2561
"ENSG00000087884" 28 23 31 28 38 27
"ENSG00000087903" 55 95 85 72 53 49
"ENSG00000087995" 441 476 574 513 472 470
"ENSG00000088002" 2 3 1 1 4 1
"ENSG00000088035" 435 553 540 590 531 474
"ENSG00000088038" 582 665 1047 745 649 604
"ENSG00000088053" 10 7 10 10 13 10
"ENSG00000088179" 754 711 834 971 760 703
"ENSG00000088205" 3139 3762 4122 3991 3236 3358
"ENSG00000088247" 4115 5306 6967 5609 4701 5018
"ENSG00000088256" 860 1112 1258 1219 1017 1094
"ENSG00000088280" 170 216 238 200 168 163
"ENSG00000088298" 605 692 637 802 643 614
"ENSG00000088305" 101 140 147 121 99 96
"ENSG00000088320" 0 1 2 1 1 0
"ENSG00000088325" 4374 6022 7485 5381 4764 5068
"ENSG00000088340" 4 5 8 9 8 4
"ENSG00000088356" 452 577 505 686 562 523
"ENSG00000088367" 376 446 553 632 428 439
"ENSG00000088386" 0 2 5 0 0 2
"ENSG00000088387" 760 826 911 880 714 712
"ENSG00000088448" 457 509 576 576 466 413
"ENSG00000088451" 203 247 275 276 178 208
"ENSG00000088538" 919 988 1252 1224 940 816
"ENSG00000088543" 1 10 4 9 11 10
"ENSG00000088682" 550 794 912 752 623 655
"ENSG00000088726" 6 2 4 3 5 3
"ENSG00000088727" 171 196 227 231 186 169
"ENSG00000088756" 361 376 449 520 374 413
"ENSG00000088766" 684 905 854 866 805 739
"ENSG00000088808" 393 454 604 512 421 411
"ENSG00000088812" 3696 4099 4656 4908 3835 3735
"ENSG00000088826" 64 95 110 96 90 105
"ENSG00000088832" 5352 6569 6797 7207 5760 5892
"ENSG00000088833" 955 1229 1541 1168 1008 1068
"ENSG00000088836" 77 69 92 74 69 64
"ENSG00000088854" 610 641 705 894 606 600
"ENSG00000088876" 439 496 552 568 435 441
"ENSG00000088881" 0 0 6 3 1 0
"ENSG00000088882" 0 1 0 0 2 1
"ENSG00000088888" 2169 2437 2894 3030 2309 2518
"ENSG00000088899" 94 94 141 112 90 92
"ENSG00000088930" 3278 3658 4239 4178 3239 3321
"ENSG00000088970" 161 172 230 222 163 184
"ENSG00000088986" 3309 4521 4618 4298 3621 3769
"ENSG00000088992" 153 157 208 213 160 161
"ENSG00000089006" 1983 2367 2674 2576 2089 2049
"ENSG00000089009" 1511 1914 1966 1917 1692 1743
"ENSG00000089012" 0 1 1 0 0 0
"ENSG00000089022" 557 727 828 702 605 576
"ENSG00000089041" 1204 1281 1384 1494 1090 979
"ENSG00000089048" 916 1006 1167 1029 837 863
"ENSG00000089050" 529 614 762 648 551 525
"ENSG00000089053" 2526 2990 3202 3330 2748 2737
"ENSG00000089057" 3743 4014 4609 5017 3683 3823
"ENSG00000089060" 88 115 129 116 111 96
"ENSG00000089063" 2177 2382 2725 2893 2268 2220
"ENSG00000089091" 65 89 130 108 78 70
"ENSG00000089094" 520 662 694 714 564 586
"ENSG00000089101" 7 6 9 7 5 5
"ENSG00000089123" 218 276 274 292 226 226
"ENSG00000089127" 223 225 312 291 268 268
"ENSG00000089154" 6134 6884 7797 8176 6405 6678
"ENSG00000089157" 5366 6726 7567 7283 5926 6135
"ENSG00000089159" 3902 4847 5805 5710 4572 4543
"ENSG00000089163" 14 16 9 26 16 16
"ENSG00000089169" 48 77 88 81 73 57
"ENSG00000089177" 430 498 596 589 507 513
"ENSG00000089195" 1165 1415 1691 1444 1205 1188
"ENSG00000089199" 3 1 2 4 0 2
"ENSG00000089220" 1576 1967 1955 2231 1735 1765
"ENSG00000089234" 637 746 884 807 691 624
"ENSG00000089248" 1959 2409 2694 2680 1978 2170
"ENSG00000089250" 0 0 1 2 0 1
"ENSG00000089280" 4966 6176 6918 6163 5279 5399
"ENSG00000089289" 510 652 651 714 520 543
"ENSG00000089327" 912 1146 1777 1271 996 1045
"ENSG00000089335" 528 580 643 716 546 463
"ENSG00000089351" 517 632 783 758 603 613
"ENSG00000089356" 269 250 269 406 249 313
"ENSG00000089472" 0 0 1 1 1 1
"ENSG00000089486" 315 361 401 390 318 369
"ENSG00000089505" 28 35 42 37 26 25
"ENSG00000089558" 16 8 7 9 6 9
"ENSG00000089597" 7756 9210 9111 10647 8197 8383
"ENSG00000089639" 114 144 181 180 148 167
"ENSG00000089682" 360 358 437 410 332 304
"ENSG00000089685" 1723 2565 2700 2255 2174 2203
"ENSG00000089692" 2 1 2 1 3 3
"ENSG00000089693" 2383 3000 3915 3387 2717 2740
"ENSG00000089723" 111 149 173 139 130 139
"ENSG00000089737" 3048 3701 4513 3833 3217 3294
"ENSG00000089775" 591 739 830 913 674 638
"ENSG00000089818" 682 891 973 994 783 795
"ENSG00000089820" 19 22 47 49 40 40
"ENSG00000089847" 6 5 21 21 14 8
"ENSG00000089876" 753 846 938 1034 821 837
"ENSG00000089902" 1233 1519 1724 1718 1342 1390
"ENSG00000089916" 1964 2024 2267 2519 1839 1784
"ENSG00000090006" 375 433 541 507 423 413
"ENSG00000090013" 206 243 236 265 244 245
"ENSG00000090020" 400 461 623 546 458 474
"ENSG00000090054" 811 955 1044 994 753 819
"ENSG00000090060" 7161 8144 9706 9107 7262 7672
"ENSG00000090061" 447 602 721 599 491 508
"ENSG00000090097" 1049 1410 1825 1563 1291 1373
"ENSG00000090104" 730 932 1144 815 740 761
"ENSG00000090238" 85 100 115 121 111 89
"ENSG00000090263" 746 936 875 1011 760 793
"ENSG00000090266" 530 622 551 718 555 533
"ENSG00000090273" 3234 4201 4909 4109 3437 3689
"ENSG00000090316" 1085 1308 1514 1420 1238 1314
"ENSG00000090339" 1593 1731 2434 2220 1691 1801
"ENSG00000090372" 1159 1441 1864 1546 1285 1390
"ENSG00000090376" 0 2 0 1 1 1
"ENSG00000090382" 222 226 213 255 202 216
"ENSG00000090402" 5 0 3 6 4 0
"ENSG00000090432" 653 890 829 989 783 783
"ENSG00000090447" 373 440 592 508 403 441
"ENSG00000090470" 656 749 849 840 638 704
"ENSG00000090487" 1462 1733 1812 1989 1606 1607
"ENSG00000090520" 955 1151 1258 1160 1089 1146
"ENSG00000090530" 3 1 0 1 1 1
"ENSG00000090534" 1 1 1 2 1 2
"ENSG00000090539" 0 1 0 0 2 0
"ENSG00000090554" 0 1 1 2 4 2
"ENSG00000090565" 666 800 990 997 795 761
"ENSG00000090581" 507 672 687 745 577 562
"ENSG00000090612" 289 341 380 389 317 308
"ENSG00000090615" 2422 2757 3103 3160 2713 2719
"ENSG00000090621" 4508 5478 6522 6157 4913 5246
"ENSG00000090659" 0 1 2 1 1 2
"ENSG00000090661" 389 417 529 550 388 443
"ENSG00000090674" 219 261 305 297 229 279
"ENSG00000090686" 4329 4938 5595 5504 4290 4441
"ENSG00000090776" 105 151 193 184 147 173
"ENSG00000090857" 1421 1597 1848 1929 1448 1524
"ENSG00000090861" 3201 3832 4256 4032 3334 3389
"ENSG00000090863" 3489 3998 4337 4749 3547 3884
"ENSG00000090889" 1103 1513 1765 1385 1257 1214
"ENSG00000090905" 1883 2083 2590 2459 1878 1887
"ENSG00000090924" 208 279 396 318 249 270
"ENSG00000090932" 32 41 37 46 41 36
"ENSG00000090971" 198 244 210 304 232 223
"ENSG00000090975" 140 188 224 184 161 173
"ENSG00000090989" 1326 1432 1675 1646 1329 1287
"ENSG00000091009" 1075 1242 1243 1372 1110 1069
"ENSG00000091039" 2721 2778 3167 3298 2665 2704
"ENSG00000091073" 175 235 277 250 183 214
"ENSG00000091106" 9 13 10 14 17 8
"ENSG00000091127" 865 1047 1151 1077 871 867
"ENSG00000091128" 11 7 12 11 8 12
"ENSG00000091129" 19 22 21 17 9 9
"ENSG00000091136" 4636 5273 6223 5708 4434 4308
"ENSG00000091137" 97 86 111 123 100 109
"ENSG00000091138" 1 1 0 0 2 1
"ENSG00000091140" 2605 3197 3515 3390 2916 2865
"ENSG00000091157" 518 622 639 702 532 561
"ENSG00000091164" 1812 2216 2775 2379 1927 1944
"ENSG00000091181" 160 186 244 254 189 168
"ENSG00000091262" 5 1 2 3 1 2
"ENSG00000091317" 3064 3493 3456 4130 3304 3301
"ENSG00000091409" 11367 13286 15816 14412 11216 11508
"ENSG00000091436" 107 128 161 165 131 133
"ENSG00000091482" 25 39 47 42 30 34
"ENSG00000091483" 1521 1803 1757 1894 1569 1509
"ENSG00000091490" 102 111 141 175 130 133
"ENSG00000091513" 46 57 52 85 69 68
"ENSG00000091527" 5719 6877 7884 7430 6011 6239
"ENSG00000091536" 1 2 1 1 2 3
"ENSG00000091542" 679 838 1035 966 741 781
"ENSG00000091592" 257 271 343 367 294 241
"ENSG00000091622" 3 4 8 5 2 3
"ENSG00000091640" 276 391 474 368 298 363
"ENSG00000091651" 497 652 653 664 542 522
"ENSG00000091656" 70 80 113 107 90 70
"ENSG00000091732" 569 800 791 804 697 696
"ENSG00000091831" 37 45 44 40 35 37
"ENSG00000091844" 240 202 213 259 209 223
"ENSG00000091879" 12 12 15 16 12 26
"ENSG00000091947" 443 524 459 539 434 441
"ENSG00000091972" 1 1 3 2 1 1
"ENSG00000091986" 14 19 23 23 18 18
"ENSG00000092009" 1 2 2 0 2 0
"ENSG00000092010" 1304 1555 1529 1682 1443 1386
"ENSG00000092020" 386 448 434 515 404 416
"ENSG00000092036" 161 144 153 166 144 136
"ENSG00000092051" 8 4 6 9 6 4
"ENSG00000092068" 360 358 535 466 328 383
"ENSG00000092094" 355 435 462 466 344 352
"ENSG00000092096" 7 11 13 15 13 12
"ENSG00000092098" 332 437 591 481 418 446
"ENSG00000092108" 1365 1522 1844 1779 1425 1355
"ENSG00000092140" 848 967 993 1063 831 836
"ENSG00000092148" 4174 4792 5093 5518 4266 4228
"ENSG00000092199" 5619 7085 8802 7219 6007 6309
"ENSG00000092200" 5 7 6 9 1 9
"ENSG00000092201" 4571 5360 6605 5545 4528 4612
"ENSG00000092203" 1205 1425 1719 1682 1340 1338
"ENSG00000092208" 189 228 211 209 180 190
"ENSG00000092295" 12 10 6 10 6 9
"ENSG00000092330" 495 603 718 667 505 562
"ENSG00000092345" 2 1 5 0 0 1
"ENSG00000092377" 1 0 1 0 0 1
"ENSG00000092421" 3706 4100 5330 4906 3790 3871
"ENSG00000092439" 2178 2397 2736 2662 2205 2097
"ENSG00000092445" 1039 1375 1496 1412 1240 1290
"ENSG00000092470" 716 831 931 856 703 685
"ENSG00000092529" 131 157 150 199 144 146
"ENSG00000092531" 1797 2006 2336 2392 1763 1809
"ENSG00000092607" 5 5 4 4 4 3
"ENSG00000092621" 1711 2152 2268 2259 1894 2090
"ENSG00000092758" 5584 7701 8681 9324 7567 6855
"ENSG00000092820" 3386 4152 4948 4156 3573 3646
"ENSG00000092841" 2207 2890 3029 3050 2554 2654
"ENSG00000092847" 1943 2146 2517 2538 2001 2041
"ENSG00000092850" 0 0 1 2 3 0
"ENSG00000092853" 1225 1532 1777 1581 1261 1324
"ENSG00000092871" 162 179 206 241 152 172
"ENSG00000092929" 47 51 60 79 61 64
"ENSG00000092931" 539 623 588 708 552 604
"ENSG00000092964" 2054 2648 3154 2481 2169 2315
"ENSG00000092969" 10 6 5 9 7 4
"ENSG00000092978" 494 584 579 579 509 538
"ENSG00000093000" 1132 1255 1355 1390 1142 1181
"ENSG00000093009" 808 1062 1168 1044 904 947
"ENSG00000093010" 2197 2694 2904 3262 2601 2764
"ENSG00000093072" 0 3 4 1 1 0
"ENSG00000093100" 8 12 6 13 8 6
"ENSG00000093144" 2383 2727 2962 2955 2455 2464
"ENSG00000093167" 1461 1760 2193 1840 1499 1481
"ENSG00000093183" 1223 1415 1451 1581 1360 1338
"ENSG00000093217" 737 835 988 973 694 750
"ENSG00000094631" 248 282 356 333 278 260
"ENSG00000094661" 1 2 3 2 4 3
"ENSG00000094755" 5 8 2 7 1 4
"ENSG00000094804" 1890 2404 2748 2423 1927 2041
"ENSG00000094841" 225 242 325 336 265 275
"ENSG00000094880" 1537 1768 2022 1820 1478 1536
"ENSG00000094914" 642 804 1085 868 751 764
"ENSG00000094916" 4981 5353 6214 6222 4735 4998
"ENSG00000094975" 2450 2846 3159 3238 2592 2681
"ENSG00000095002" 1873 2223 2269 2360 1879 1913
"ENSG00000095015" 1950 2172 2431 2429 1827 1890
"ENSG00000095059" 848 1111 1168 1176 921 916
"ENSG00000095066" 166 216 218 234 192 170
"ENSG00000095139" 4021 4898 5742 5169 4046 4313
"ENSG00000095203" 15 22 27 32 32 22
"ENSG00000095209" 739 817 846 927 769 793
"ENSG00000095261" 1086 1350 1539 1418 1183 1153
"ENSG00000095303" 18 19 21 17 21 27
"ENSG00000095319" 1892 2562 2827 2487 2193 2277
"ENSG00000095321" 156 203 268 238 173 191
"ENSG00000095370" 1 3 3 2 0 0
"ENSG00000095380" 739 919 1104 1020 792 804
"ENSG00000095383" 16 25 40 35 22 27
"ENSG00000095397" 550 628 832 846 623 707
"ENSG00000095464" 1 1 1 3 2 3
"ENSG00000095485" 437 540 577 580 503 454
"ENSG00000095539" 96 96 136 145 103 107
"ENSG00000095564" 1965 2417 2728 2680 2255 1784
"ENSG00000095574" 463 460 557 538 446 462
"ENSG00000095587" 4 6 4 5 4 6
"ENSG00000095637" 440 463 610 516 416 438
"ENSG00000095713" 3 5 6 7 2 6
"ENSG00000095739" 1804 2468 3012 2610 2259 2370
"ENSG00000095752" 9 14 8 9 9 11
"ENSG00000095777" 1 1 0 1 2 0
"ENSG00000095787" 2975 3344 4587 3921 3050 3162
"ENSG00000095794" 632 615 652 770 584 602
"ENSG00000095906" 420 560 542 578 510 510
"ENSG00000095932" 2 2 2 0 0 3
"ENSG00000095951" 563 554 765 638 562 575
"ENSG00000096060" 811 1000 1205 1022 870 921
"ENSG00000096063" 2130 2665 2976 2740 2290 2234
"ENSG00000096070" 606 747 946 800 625 678
"ENSG00000096080" 348 416 549 414 318 349
"ENSG00000096092" 391 526 475 575 486 490
"ENSG00000096093" 587 627 759 874 615 505
"ENSG00000096384" 33874 40299 44062 42486 33948 35479
"ENSG00000096401" 1596 1896 2314 1965 1653 1701
"ENSG00000096433" 3238 3540 4402 4316 3224 3228
"ENSG00000096654" 302 317 417 391 309 288
"ENSG00000096696" 63 60 43 74 72 0
"ENSG00000096717" 381 452 517 560 382 429
"ENSG00000096746" 2923 3347 3938 3551 2911 2855
"ENSG00000096872" 345 380 478 432 341 350
"ENSG00000096968" 974 971 1199 1257 1013 976
"ENSG00000096996" 5 5 10 7 4 3
"ENSG00000097007" 1251 1537 1772 1664 1378 1410
"ENSG00000097021" 2580 3404 3701 3528 3024 3270
"ENSG00000097033" 2155 2505 2788 2722 2245 2211
"ENSG00000097046" 717 889 1077 912 725 727
"ENSG00000097096" 233 258 321 249 199 265
"ENSG00000099139" 2 3 2 5 3 3
"ENSG00000099194" 7556 7997 9316 10276 7404 7899
"ENSG00000099203" 186 234 217 282 198 206
"ENSG00000099204" 721 787 932 902 691 737
"ENSG00000099219" 1197 1192 1263 1610 1270 1246
"ENSG00000099246" 1306 1503 1690 1715 1347 1349
"ENSG00000099250" 204 280 296 276 206 218
"ENSG00000099251" 10 8 16 16 9 12
"ENSG00000099256" 5 13 11 8 10 10
"ENSG00000099260" 1 1 0 0 2 0
"ENSG00000099282" 86 88 98 113 107 89
"ENSG00000099284" 1 3 1 2 2 1
"ENSG00000099290" 325 415 477 442 326 394
"ENSG00000099308" 176 184 261 231 218 209
"ENSG00000099326" 349 346 438 452 332 291
"ENSG00000099330" 73 113 134 110 99 86
"ENSG00000099331" 2372 2792 3399 3315 2606 2713
"ENSG00000099337" 4 2 5 4 4 0
"ENSG00000099338" 7 6 5 10 4 6
"ENSG00000099341" 1796 2422 2898 2572 2101 2247
"ENSG00000099364" 208 248 322 338 244 268
"ENSG00000099365" 1 4 3 5 1 3
"ENSG00000099377" 7 8 5 7 4 5
"ENSG00000099381" 766 984 1330 1030 926 975
"ENSG00000099385" 157 213 239 183 198 172
"ENSG00000099399" 2880 3230 3143 3772 2908 3079
"ENSG00000099622" 1098 1398 1370 1576 1183 1246
"ENSG00000099624" 388 540 560 632 489 516
"ENSG00000099625" 50 81 94 84 65 60
"ENSG00000099715" 1 0 0 1 2 0
"ENSG00000099725" 210 183 208 228 181 168
"ENSG00000099769" 1 1 5 4 5 2
"ENSG00000099783" 5376 6733 7212 6912 5979 5952
"ENSG00000099785" 126 132 190 187 150 150
"ENSG00000099795" 519 602 611 661 549 568
"ENSG00000099797" 534 775 881 781 591 691
"ENSG00000099800" 771 950 949 980 863 893
"ENSG00000099804" 683 946 1082 931 834 883
"ENSG00000099810" 2814 3013 3467 3553 2805 2764
"ENSG00000099812" 0 1 3 3 4 3
"ENSG00000099814" 1278 1525 1848 1946 1588 1472
"ENSG00000099817" 1527 1940 2144 2103 1665 1871
"ENSG00000099821" 326 437 441 431 360 397
"ENSG00000099822" 6 18 22 17 18 14
"ENSG00000099834" 21 15 21 25 10 17
"ENSG00000099840" 5 10 4 17 5 6
"ENSG00000099849" 93 97 102 113 102 106
"ENSG00000099860" 59 121 128 89 78 75
"ENSG00000099864" 1 2 0 3 1 0
"ENSG00000099866" 9 6 15 6 9 5
"ENSG00000099875" 475 619 774 748 628 621
"ENSG00000099889" 38 50 45 64 63 48
"ENSG00000099899" 342 476 528 518 384 432
"ENSG00000099901" 819 912 1353 931 852 869
"ENSG00000099904" 237 336 383 403 301 301
"ENSG00000099910" 108 122 106 139 121 83
"ENSG00000099917" 875 1029 1354 1171 973 1017
"ENSG00000099937" 7 11 7 13 10 16
"ENSG00000099940" 271 310 423 347 296 334
"ENSG00000099942" 961 1082 1157 1159 1014 1012
"ENSG00000099949" 294 323 389 408 376 296
"ENSG00000099953" 4 12 6 5 6 2
"ENSG00000099954" 3 2 3 5 2 8
"ENSG00000099956" 1191 1588 1923 1543 1348 1467
"ENSG00000099957" 27 37 36 46 29 28
"ENSG00000099958" 58 64 65 59 48 46
"ENSG00000099960" 1 2 1 8 5 2
"ENSG00000099968" 2943 3517 3839 4117 3146 3335
"ENSG00000099974" 126 157 201 159 149 116
"ENSG00000099977" 489 594 552 686 522 538
"ENSG00000099991" 1957 2354 2641 2685 2018 2080
"ENSG00000099992" 123 133 128 151 122 125
"ENSG00000099994" 3 6 7 9 6 12
"ENSG00000099995" 2429 2945 3573 3118 2418 2645
"ENSG00000099998" 0 1 0 3 2 1
"ENSG00000099999" 73 60 61 85 68 89
"ENSG00000100003" 142 168 174 208 183 161
"ENSG00000100012" 0 0 0 1 0 1
"ENSG00000100014" 738 870 953 1026 853 828
"ENSG00000100023" 418 521 646 564 468 474
"ENSG00000100024" 0 0 1 0 0 1
"ENSG00000100027" 13 3 11 8 9 9
"ENSG00000100028" 2373 3102 3997 3269 2603 2703
"ENSG00000100029" 857 1180 1395 1103 896 989
"ENSG00000100030" 1987 2476 2828 2600 2075 2285
"ENSG00000100031" 5 1 3 4 3 1
"ENSG00000100033" 0 1 2 1 0 0
"ENSG00000100034" 300 389 360 402 357 321
"ENSG00000100036" 16 19 19 16 14 11
"ENSG00000100038" 3 6 9 12 9 3
"ENSG00000100053" 0 1 0 0 4 1
"ENSG00000100055" 1 0 1 1 0 2
"ENSG00000100056" 266 337 386 359 299 326
"ENSG00000100058" 268 282 393 316 248 266
"ENSG00000100060" 0 0 0 1 2 2
"ENSG00000100065" 17 12 20 16 13 17
"ENSG00000100068" 148 154 205 230 142 147
"ENSG00000100075" 1057 1384 1432 1548 1299 1352
"ENSG00000100077" 371 408 549 516 408 376
"ENSG00000100083" 534 658 707 741 611 568
"ENSG00000100084" 298 358 410 364 319 332
"ENSG00000100092" 121 156 190 143 137 136
"ENSG00000100097" 4056 5273 5120 5418 4655 4717
"ENSG00000100099" 3870 4307 5055 5562 4249 4249
"ENSG00000100100" 3 2 6 6 6 8
"ENSG00000100104" 1222 1428 1655 1658 1275 1373
"ENSG00000100105" 374 460 525 526 438 445
"ENSG00000100106" 175 221 263 265 233 214
"ENSG00000100109" 938 1071 1268 1321 1035 1097
"ENSG00000100116" 79 104 107 96 94 91
"ENSG00000100122" 0 0 1 0 1 0
"ENSG00000100124" 267 363 366 441 400 439
"ENSG00000100129" 1455 1683 1735 1967 1488 1542
"ENSG00000100138" 7211 8779 8783 9354 7479 7557
"ENSG00000100139" 371 446 518 480 390 421
"ENSG00000100142" 503 538 614 786 547 513
"ENSG00000100146" 249 399 602 354 493 378
"ENSG00000100147" 482 576 646 602 498 500
"ENSG00000100150" 138 155 229 174 149 161
"ENSG00000100151" 860 1105 1299 1226 974 1023
"ENSG00000100154" 166 158 224 212 163 148
"ENSG00000100156" 15 12 12 23 13 8
"ENSG00000100162" 753 1130 990 1063 951 939
"ENSG00000100167" 420 541 779 600 465 452
"ENSG00000100170" 1 1 1 0 0 0
"ENSG00000100181" 56 49 76 63 48 37
"ENSG00000100191" 1 0 3 4 1 4
"ENSG00000100196" 221 300 379 287 247 275
"ENSG00000100197" 13 20 33 26 18 18
"ENSG00000100201" 14702 16354 18510 20315 15148 13121
"ENSG00000100206" 9 20 28 16 14 14
"ENSG00000100207" 4683 5201 6370 5949 4647 4803
"ENSG00000100209" 32 51 50 66 39 58
"ENSG00000100211" 130 181 227 186 148 154
"ENSG00000100216" 2510 3258 3596 3263 2754 2974
"ENSG00000100218" 1 0 1 0 0 0
"ENSG00000100219" 581 693 744 733 544 579
"ENSG00000100220" 927 1129 1181 1234 1104 1076
"ENSG00000100221" 1650 1890 2091 2331 1746 1778
"ENSG00000100225" 1957 2373 2633 2608 2013 2073
"ENSG00000100226" 1086 1390 1654 1437 1183 1277
"ENSG00000100227" 4475 5362 5869 5845 4560 4850
"ENSG00000100228" 66 83 72 92 96 65
"ENSG00000100234" 3671 4564 5247 4263 3521 3858
"ENSG00000100239" 287 326 389 387 294 285
"ENSG00000100241" 689 915 889 1028 901 946
"ENSG00000100242" 663 911 942 845 746 830
"ENSG00000100243" 2657 3637 4851 3699 3197 3293
"ENSG00000100246" 133 138 160 160 122 141
"ENSG00000100258" 285 360 444 385 371 347
"ENSG00000100263" 91 121 114 120 108 98
"ENSG00000100266" 999 1259 1473 1319 1156 1164
"ENSG00000100271" 42 62 63 66 40 47
"ENSG00000100276" 6 0 5 5 2 3
"ENSG00000100280" 897 1098 1276 1253 941 987
"ENSG00000100281" 430 526 623 558 466 433
"ENSG00000100284" 97 103 137 130 113 109
"ENSG00000100285" 3 3 1 6 2 1
"ENSG00000100288" 4 6 14 5 6 3
"ENSG00000100290" 1 2 5 2 7 4
"ENSG00000100292" 141 190 179 153 148 147
"ENSG00000100294" 96 110 137 114 110 124
