"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3"
"ENSG00000006377" 15 19 23 15 19 15
"ENSG00000006432" 502 493 514 627 495 512
"ENSG00000006451" 1372 1662 1633 1813 1458 1482
"ENSG00000006453" 943 1062 1388 1348 1035 1082
"ENSG00000006459" 347 324 390 499 367 397
"ENSG00000006468" 1765 1938 2310 2330 1739 1721
"ENSG00000006530" 975 1062 1337 1118 963 959
"ENSG00000006534" 46 57 47 41 38 42
"ENSG00000006555" 1 0 1 2 1 1
"ENSG00000006576" 1846 2022 2282 2053 1610 1612
"ENSG00000006607" 4570 4829 5034 6373 4342 4443
"ENSG00000006611" 0 1 0 0 0 1
"ENSG00000006625" 598 680 775 699 556 554
"ENSG00000006634" 652 881 1066 861 714 679
"ENSG00000006638" 0 3 1 3 0 0
"ENSG00000006652" 1391 1615 1771 1667 1399 1369
"ENSG00000006695" 308 394 420 410 314 312
"ENSG00000006704" 359 459 585 491 389 438
"ENSG00000006712" 694 948 1304 904 830 836
"ENSG00000006715" 1904 2013 2151 2516 1820 1823
"ENSG00000006740" 2 6 6 3 6 5
"ENSG00000006744" 1089 1383 1531 1374 1150 1214
"ENSG00000006747" 111 132 149 155 137 140
"ENSG00000006756" 279 318 336 393 283 281
"ENSG00000006757" 218 252 270 270 225 214
"ENSG00000006788" 35 32 33 42 33 26
"ENSG00000006831" 3039 3654 3878 3975 3169 3300
"ENSG00000006837" 26 31 29 28 21 22
"ENSG00000007001" 1 1 3 1 2 0
"ENSG00000007047" 189 199 238 253 191 190
"ENSG00000007062" 101 142 141 153 126 120
"ENSG00000007080" 635 776 1195 813 706 729
"ENSG00000007129" 0 0 1 0 0 1
"ENSG00000007168" 2543 2709 2920 3214 2636 2585
"ENSG00000007171" 2 4 4 2 2 3
"ENSG00000007174" 251 336 377 390 309 282
"ENSG00000007202" 3542 4073 4726 4624 3789 3878
"ENSG00000007237" 6306 7532 8269 7954 6064 6371
"ENSG00000007255" 32 43 47 60 52 40
"ENSG00000007264" 2 1 1 0 0 0
"ENSG00000007312" 1 0 2 0 2 2
"ENSG00000007314" 0 2 1 1 0 1
"ENSG00000007341" 361 427 474 484 330 358
"ENSG00000007350" 4 11 13 20 9 15
"ENSG00000007372" 0 1 1 0 0 0
"ENSG00000007376" 286 405 454 451 386 425
"ENSG00000007384" 451 549 680 713 559 543
"ENSG00000007392" 705 857 972 981 737 762
"ENSG00000007402" 11 6 9 9 7 6
"ENSG00000007516" 24 41 42 41 28 27
"ENSG00000007520" 409 511 636 524 487 502
"ENSG00000007541" 302 397 484 481 414 420
"ENSG00000007545" 224 243 268 317 219 204
"ENSG00000007866" 113 134 163 170 128 108
"ENSG00000007923" 1016 1258 1593 1313 1078 1118
"ENSG00000007933" 59 70 58 82 71 58
"ENSG00000007944" 443 571 526 682 496 511
"ENSG00000007952" 6 7 14 9 6 6
"ENSG00000007968" 348 499 512 517 366 452
"ENSG00000008018" 2591 3056 3038 3369 2680 2706
"ENSG00000008056" 4 7 5 5 6 3
"ENSG00000008083" 1602 1798 2374 2194 1629 1787
"ENSG00000008086" 184 209 268 272 213 197
"ENSG00000008118" 1 7 2 6 6 3
"ENSG00000008128" 42 48 57 79 53 49
"ENSG00000008130" 1068 1308 1357 1449 1163 1282
"ENSG00000008226" 12 11 12 8 7 12
"ENSG00000008256" 3486 3904 4609 4684 3602 3438
"ENSG00000008277" 425 472 586 517 396 407
"ENSG00000008282" 3451 3825 3740 4481 3487 3437
"ENSG00000008283" 583 686 750 731 600 653
"ENSG00000008294" 6398 7538 8467 8579 7014 7222
"ENSG00000008300" 605 736 831 1022 737 642
"ENSG00000008311" 994 980 1211 1096 903 843
"ENSG00000008323" 1 1 1 2 6 0
"ENSG00000008324" 274 283 293 376 282 291
"ENSG00000008382" 66 77 90 82 70 66
"ENSG00000008394" 807 907 1128 984 763 705
"ENSG00000008405" 440 524 529 547 513 433
"ENSG00000008438" 2 0 3 0 1 0
"ENSG00000008441" 1036 1313 1686 1316 1077 1181
"ENSG00000008513" 1363 1411 1628 1746 1316 1370
"ENSG00000008516" 0 3 4 3 4 3
"ENSG00000008517" 5 3 4 2 6 0
"ENSG00000008710" 326 429 499 591 411 406
"ENSG00000008735" 0 3 6 0 4 1
"ENSG00000008838" 745 990 1046 978 803 864
"ENSG00000008853" 595 745 750 756 649 629
"ENSG00000008869" 935 1131 1305 1245 1015 1021
"ENSG00000008952" 2634 2946 3331 3297 2697 2753
"ENSG00000008988" 2297 3014 2932 3269 2576 2548
"ENSG00000009307" 26629 32097 37829 33686 27669 28257
"ENSG00000009335" 4155 4986 5117 5368 4563 4623
"ENSG00000009413" 2555 2595 3203 3385 2616 2537
"ENSG00000009694" 246 271 369 337 226 184
"ENSG00000009709" 1 1 0 0 0 1
"ENSG00000009724" 39 33 57 33 32 26
"ENSG00000009765" 5 1 2 2 0 2
"ENSG00000009780" 187 212 238 238 173 199
"ENSG00000009790" 6 4 3 4 6 4
"ENSG00000009830" 827 1043 1086 1185 965 969
"ENSG00000009844" 2116 2281 2572 2513 2021 2112
"ENSG00000009950" 3 3 1 12 9 3
"ENSG00000009954" 5247 6407 7616 6591 5076 5379
"ENSG00000010017" 1203 1463 1730 1487 1299 1322
"ENSG00000010030" 2 5 3 3 3 6
"ENSG00000010072" 302 382 407 369 332 310
"ENSG00000010165" 1301 1586 1638 1792 1449 1453
"ENSG00000010219" 138 208 229 206 165 142
"ENSG00000010244" 3521 4160 4868 4552 3755 3705
"ENSG00000010256" 2518 3166 3225 3534 2835 2926
"ENSG00000010270" 873 1139 1073 1111 949 1051
"ENSG00000010278" 232 299 277 269 260 262
"ENSG00000010292" 3578 4633 4975 4342 3969 4093
"ENSG00000010295" 292 388 447 394 327 319
"ENSG00000010310" 5 8 5 8 4 5
"ENSG00000010318" 97 118 123 156 108 122
"ENSG00000010319" 22 30 36 36 21 26
"ENSG00000010322" 576 738 828 849 644 661
"ENSG00000010327" 7 1 10 3 3 5
"ENSG00000010361" 380 439 432 516 398 404
"ENSG00000010379" 3 2 0 0 1 0
"ENSG00000010404" 2840 2917 3584 3879 2939 2939
"ENSG00000010438" 0 2 0 2 2 0
"ENSG00000010539" 442 490 546 591 453 430
"ENSG00000010610" 0 0 0 1 1 0
"ENSG00000010626" 136 170 193 177 185 158
"ENSG00000010671" 134 145 160 205 140 181
"ENSG00000010704" 3 3 1 1 2 0
"ENSG00000010803" 711 831 1027 942 707 774
"ENSG00000010810" 2012 2390 2945 2672 2087 2117
"ENSG00000010818" 1039 1111 1413 1258 1059 1051
"ENSG00000010932" 12 13 15 9 8 14
"ENSG00000011007" 3340 3902 4477 4453 3499 3713
"ENSG00000011009" 1196 1388 1727 1703 1415 1464
"ENSG00000011021" 474 526 655 683 484 495
"ENSG00000011028" 28 27 25 45 29 24
"ENSG00000011105" 418 500 515 695 495 501
"ENSG00000011114" 1146 1188 1391 1487 1118 1152
"ENSG00000011132" 107 134 149 150 152 143
"ENSG00000011143" 117 154 173 194 159 150
"ENSG00000011198" 321 393 454 399 384 393
"ENSG00000011243" 491 629 821 610 529 576
"ENSG00000011258" 699 705 776 908 728 681
"ENSG00000011260" 1701 2013 2010 2077 1705 1751
"ENSG00000011275" 1381 1569 1774 1775 1393 1483
"ENSG00000011295" 900 1086 1093 1225 938 903
"ENSG00000011304" 5843 7235 8986 7908 6545 6860
"ENSG00000011332" 78 74 122 86 76 63
"ENSG00000011347" 10 14 14 14 7 13
"ENSG00000011376" 1059 1378 1447 1511 1161 1273
"ENSG00000011405" 3937 4210 5319 4917 4058 3919
"ENSG00000011422" 146 198 247 225 147 163
"ENSG00000011426" 4221 5631 6586 5003 4707 4665
"ENSG00000011451" 686 896 1185 1032 879 914
"ENSG00000011454" 1123 1381 1583 1448 1184 1214
"ENSG00000011465" 0 2 2 2 0 0
"ENSG00000011478" 266 331 326 396 300 306
"ENSG00000011485" 1140 1376 1648 1382 1160 1177
"ENSG00000011523" 620 727 859 850 627 713
"ENSG00000011566" 946 1136 1243 1215 1148 962
"ENSG00000011590" 2 3 4 5 4 3
"ENSG00000011638" 186 182 170 271 205 172
"ENSG00000011677" 226 231 274 293 219 204
"ENSG00000012048" 2218 2812 3185 2745 2269 2254
"ENSG00000012061" 791 997 1260 1121 919 920
"ENSG00000012124" 448 517 569 635 463 523
"ENSG00000012171" 529 655 707 795 613 571
"ENSG00000012174" 840 1025 1018 1157 855 914
"ENSG00000012211" 109 142 164 143 119 118
"ENSG00000012223" 1 1 2 0 2 1
"ENSG00000012232" 1224 1436 1537 1751 1324 1393
"ENSG00000012504" 19 7 10 21 19 23
"ENSG00000012660" 3166 3760 4129 3796 2993 3241
"ENSG00000012817" 792 834 964 988 819 750
"ENSG00000012822" 298 342 423 436 323 309
"ENSG00000012963" 1374 1720 1970 1733 1408 1468
"ENSG00000012983" 2241 2512 3122 2944 2315 2212
"ENSG00000013016" 41 57 54 57 52 53
"ENSG00000013275" 2356 2957 3591 3114 2653 2712
"ENSG00000013288" 400 530 621 604 423 495
"ENSG00000013293" 1 3 3 2 2 3
"ENSG00000013297" 86 117 147 152 114 103
"ENSG00000013306" 1426 1889 2202 2045 1759 1795
"ENSG00000013364" 358 415 396 618 458 462
"ENSG00000013374" 1797 2060 2687 2333 1888 1858
"ENSG00000013375" 625 803 773 828 704 677
"ENSG00000013392" 117 125 143 113 136 141
"ENSG00000013441" 885 1001 1034 1260 971 804
"ENSG00000013503" 696 823 1008 905 759 761
"ENSG00000013523" 436 505 535 603 510 498
"ENSG00000013561" 1431 1834 1925 1977 1542 1729
"ENSG00000013563" 102 123 135 139 127 99
"ENSG00000013573" 399 518 598 557 438 400
"ENSG00000013583" 405 507 615 582 456 465
"ENSG00000013588" 680 833 914 978 791 764
"ENSG00000013619" 312 366 450 359 322 330
"ENSG00000013725" 1 0 1 0 1 0
"ENSG00000013810" 1289 1885 2115 1751 1519 1608
"ENSG00000014123" 795 930 1033 1057 884 824
"ENSG00000014138" 581 790 927 733 671 703
"ENSG00000014164" 196 270 336 288 218 254
"ENSG00000014216" 597 687 837 838 642 702
"ENSG00000014257" 46 71 93 81 60 63
"ENSG00000014641" 3454 4037 3800 4877 3862 3670
"ENSG00000014824" 2118 2411 2833 2667 2105 2114
"ENSG00000014914" 35 56 71 70 62 36
"ENSG00000014919" 1487 1680 1764 2014 1588 1625
"ENSG00000015133" 78 84 109 92 87 93
"ENSG00000015153" 270 312 325 404 273 301
"ENSG00000015171" 1598 2056 2495 2046 1759 1736
"ENSG00000015285" 3 5 4 4 3 3
"ENSG00000015475" 564 743 792 696 604 555
"ENSG00000015479" 112 84 108 133 109 109
"ENSG00000015520" 0 1 0 0 0 1
"ENSG00000015532" 521 688 872 773 614 668
"ENSG00000015568" 12 8 9 11 9 6
"ENSG00000015592" 1 1 3 2 1 1
"ENSG00000015676" 1649 1817 2026 2283 1629 1754
"ENSG00000016391" 37 48 43 55 38 42
"ENSG00000016864" 1358 1765 1730 1869 1475 1426
"ENSG00000017260" 4068 4457 4610 4869 3935 3765
"ENSG00000017427" 1 0 0 2 1 2
"ENSG00000017483" 1 2 1 4 3 1
"ENSG00000017797" 1644 1854 2049 1999 1677 1694
"ENSG00000018189" 799 890 952 1167 915 776
"ENSG00000018236" 189 188 229 274 199 207
"ENSG00000018280" 12 10 7 11 9 1
"ENSG00000018408" 7589 8547 9953 8976 6991 7286
"ENSG00000018510" 2944 3174 3399 3529 2926 2935
"ENSG00000018607" 1 1 2 0 1 1
"ENSG00000018610" 511 558 577 624 531 512
"ENSG00000018625" 1 1 0 1 0 0
"ENSG00000018699" 550 633 635 648 574 539
"ENSG00000018869" 80 105 98 111 76 96
"ENSG00000019102" 2 4 2 0 2 4
"ENSG00000019144" 1583 1797 2351 2329 1615 1809
"ENSG00000019186" 2 2 4 0 3 5
"ENSG00000019485" 124 165 177 185 141 165
"ENSG00000019505" 0 1 2 2 1 3
"ENSG00000019549" 186 284 368 228 241 244
"ENSG00000019582" 511 686 934 813 601 616
"ENSG00000019995" 410 482 589 544 474 455
"ENSG00000020129" 1027 1293 1409 1460 1183 1212
"ENSG00000020181" 41 54 77 76 57 59
"ENSG00000020256" 455 568 699 596 517 528
"ENSG00000020426" 475 517 610 561 488 419
"ENSG00000020577" 839 858 955 1146 728 728
"ENSG00000020633" 1143 1562 2077 1590 1388 1608
"ENSG00000020922" 471 536 561 559 497 454
"ENSG00000021300" 1602 1858 2439 2260 1628 1806
"ENSG00000021355" 463 544 612 706 577 521
"ENSG00000021488" 0 2 0 0 0 0
"ENSG00000021574" 576 679 711 807 643 650
"ENSG00000021645" 586 643 773 683 574 566
"ENSG00000021762" 588 626 796 726 540 534
"ENSG00000021776" 1888 2236 2611 2383 1921 2001
"ENSG00000021826" 1246 1326 1405 1623 1264 1332
"ENSG00000022267" 3 6 11 9 7 3
"ENSG00000022277" 1931 2356 2368 2489 2031 2039
"ENSG00000022556" 1340 1433 1497 1913 1442 1454
"ENSG00000022567" 307 362 422 446 292 352
"ENSG00000022840" 1681 2087 2211 2476 1925 2038
"ENSG00000022976" 124 148 161 176 129 144
"ENSG00000023041" 797 957 1070 980 798 726
"ENSG00000023171" 358 338 442 544 368 355
"ENSG00000023191" 2268 2721 3223 3204 2595 2694
"ENSG00000023228" 2619 3015 3362 3655 2773 2802
"ENSG00000023287" 3635 3780 4365 4762 3893 3759
"ENSG00000023318" 1279 1476 1873 1572 1306 1333
"ENSG00000023330" 786 1060 1220 1108 890 1024
"ENSG00000023445" 185 231 257 212 154 174
"ENSG00000023516" 1696 1780 1930 2170 1646 1694
"ENSG00000023572" 326 421 407 395 373 352
"ENSG00000023608" 227 322 340 277 259 255
"ENSG00000023697" 911 1165 1206 1380 1054 1109
"ENSG00000023734" 4967 5760 5787 6457 5138 5229
"ENSG00000023839" 521 647 724 783 619 622
"ENSG00000023892" 2 3 0 2 2 0
"ENSG00000023902" 85 105 124 108 98 105
"ENSG00000023909" 1170 1486 1524 1517 1302 1246
"ENSG00000024048" 1504 1677 1792 1933 1455 1486
"ENSG00000024422" 136 167 229 163 143 155
"ENSG00000024526" 1169 1569 1561 1389 1396 1261
"ENSG00000024862" 239 263 288 335 263 224
"ENSG00000025039" 1239 1405 1505 1648 1333 1360
"ENSG00000025156" 469 561 583 593 466 497
"ENSG00000025293" 1161 1251 1350 1464 1095 1153
"ENSG00000025423" 23 35 34 23 19 25
"ENSG00000025434" 87 90 90 77 85 81
"ENSG00000025708" 20 34 20 35 27 26
"ENSG00000025770" 335 483 423 500 439 445
"ENSG00000025772" 1298 1588 1855 1659 1267 1390
"ENSG00000025796" 1653 1908 2429 2166 1658 1815
"ENSG00000025800" 2988 3496 3627 3979 3232 3171
"ENSG00000026025" 24080 29876 36082 30729 25581 26229
